กงต์, โอกูสต์	COMTE, AUGUSTE
กงสุล	CONSUL
กรอ	GRAW
กรอดโน	GRODNO
กรอตส์	GROTZ
กรอตโต	GROTTO
กรอท	GROTH
กรอฟ	GROFF
กรอยดอล	GRONDAHL
กรอยลิก	GREULICH
กรอล	GRAUL
กรอส	GROSS
กรอสส์	GROSSE
กรอเมิ่น	GRAUMAN
กรังด์ปรี	GRAND PRIX
กรันซินสกี	GRANZENSKY
กรันดี้	GRUNDY
กรันเบิร์ก	GRUNBERG
กรับส์	GRUBBS
กรัป	GRUPPE
กรัม	GRAM
กรัส	GRUSS
กรั๊บ	GRUBB
กราต์ซีเอโน่	GRAZIANO
กรานต์	GRANT
กราบิแวร์	GRABIWARE
กราฟ	GRAPH
กราฟฟิน	GRAFFIN
กราฟฟ์, สเตฟฟี	GRAFF, STEFFI
กราฟิก	GRAPHIC
กราฟิกดีไซน์	GRAPHIC DESIGN
กราฟิกส์	GRAPHICS
กราฟิกอาร์ต	GRAPHIC ARTS
กราฟิกแกรนิต	GRAPHIC GRANITE
กราฟเติน	GRAFTON
กราลินโด้	GRALINDO
กราวนด์	GROUND
กราวนด์โฮสเตส	GROUND HOSTESS
กราวิเมตริก	GRAVIMETRIC
กราสซี	GRASSY
กราสมันน์	GREASSMANN
กราสส์, กึนเทอร์	GRASS, GUENTER
กราเซียส	GRACIAS
กราเนีย	GRANIA
กราเบน	GRABEN
กริกส์	GRIGGS
กริด	GRID
กริต	GRIT
กริตส์	GRITS
กริตเติ้น	GRITTEN
กรินนิ่ง	GRINNING
กรินลิส	GREENLEES
กรินสเตด	GRINSTEAD
กรินเดิล	GRINDLE
กรินเนลล์	GRINNELL
กริปเปอร์	GRIPPER
กริฟฟิท	GRIFFITH
กริฟฟิทส์	GRIFFITHS
กริฟฟิน	GRIFFIN
กริฟฟิส	GRIFFIS
กริฟฟิ่ง	GRIFFING
กริฟส์	GREAVES
กริม	GRIM
กริมชอ	GRIMSHAW
กริมมิต	GRIMMETT
กริมม์	GRIMM
กริมม์, ยาค็อบ	GRIMM, JAKOB
กริมสบี้	GRIMSBY
กริมส์ลีย์	GRIMSLEY
กริมเบิล	GRIMBLE
กริลลี่ย์	GREELEY
กริลล์	GRILL
กริลล์	GRILLE
กริลส์	GRILS
กริลเลอร์	GRILLER
กริสเคิ่ม	GRISCOM
กริ๊ก	GREIG
กริ๊กสัน	GRIGSON
กริ๊บ	GREBE
กริ๊บบิ้น	GRIBBIN
กริ๊บเบิล	GRIBBLE
กริ๊บเบิ้น	GRIBBEN
กรี	GREE
กรีก	GREEK
กรีซ	GREECE
กรีด	GREDE
กรีดลีย์	GRIDLEY
กรีต	GREET
กรีต้า	GRETA
กรีน	GREENE
กรีน, มอริซ	GREENE, MAURICE
กรีน, แกรม	GREENE, GRAHAM
กรีนการ์ด	GREEN CARD
กรีนนัป	GREENUP
กรีนนาเคอร์	GREENACRE
กรีนน็อค	GREENOCK
กรีนพีซ	GREENPEACE
กรีนฟิลด์	GREENFIELD
กรีนลิฟ	GREENLEAF
กรีนลีฟส์	GREENLEAVES
กรีนลี่	GREENLEE
กรีนวอลด์	GREENWALD
กรีนวูด	GREENWOOD
กรีนสตรีต	GREENSTREET
กรีนสตัฟฟ์	GREENSTUFF
กรีนสปัน	GREENSPUN
กรีนสเลิด	GREENSLADE
กรีนสแปน, แอลัน	GREENSPAN, ALAN
กรีนสโตน	GREENSTONE
กรีนสไตน์	GREENSTEIN
กรีนฮิล	GREENHILL
กรีนิจ	GREENIDGE
กรีนิช	GREENICH
กรีนิชเมริเดียน	GREENWICH MERIDIAN
กรีนเนอเวย์	GREENAWAY
กรีนเบาม์	GREENBAUM
กรีนเบิร์ก	GREENBURG
กรีนเบิร์ก, คลีเมนต์	GREENBERG, CLEMENT
กรีนเมิน	GREENMAN
กรีนเวย์	GREENWAY
กรีนเอิม	GREENHAM
กรีนเฮด	GREENHEAD
กรีนเฮาส์	GREENHOUSE
กรีนเฮิ่ม	GRINHAM
กรีนแกลส	GREENGLASS
กรีนแบงก์	GREENBANK
กรีนแฮลช์	GREENHALGH
กรีป	GREEP
กรีฟ	GREVE
กรีฟส์	GRIEVES
กรียเนิฟ	GREENOUGH
กรีสัน	GREESON
กรีสโวลด์	GRISWOLD
กรีเกล	GREGALE
กรีเนอร์	GREENER
กรีเฟิล	GRIFFEL
กรีโน, ฮอเรชีโอ	GREENOUGH, HORATIO
กรี๊ฟส์	GREEVES
กรุป	GROUP
กรุ๊ปแวร์	GROUPWARE
กรู	GREW
กรูนวอลด์	GRUENWALD
กรูนเบิร์ก	GRUENBERG
กรูม	GROOM
กรูมส์	GROOMS
กรูมส์, เรด	GROOMS, RED
กรูส	GROOS
กรูสัน	GRUSON
กรูอิน	GRUENE
กรูเบอร์	GRUBER
กรูเวอร์	GROOVER
กรูเออร์	GRUER
กรูแยร์	GRUYERE
กรูโช	GROUCHO
กรู๊ป	GROUPE
กร็อปเปอร์	GROPPER
กลอริโอซัส	GLORIOSUS
กลอสเซิป	GLOSSOP
กลอสเตอร์	GLOUCESTER
กลอเรีย	GLORIA
กลอโคดอต	GLAUCODOT
กลอโคเฟน	GLAUCOPHANE
กลอโคไนต์	GLAUCONITE
กลัวซอนเน	CLOISONNE
กลัสเตอร์	GLAISTER
กลั๊กเมิ่น	GLUCKMAN
กลาส	GLASS
กลาสส์, ฟิลิป	GLASS, PHILIP
กลาสเซอร์	GLASSER
กลิกเมิน	GLICKMAN
กลิดเดน	GLIDDEN
กลิน	GLYNN
กลิ๊ก	GLICK
กลีด	GLEED
กลีสสัน	GLISSON
กลีเซชัน	GLEIZATION
กลีเซอรีน	GLYCERIN
กลีเซอรีน	GLYCERINE
กลีเซิ่น	GLEESON
กลีแมน	GLEEMAN
กลู	GLUE
กลูทาเมต	GLUTAMATE
กลูโคส	GLUCOSE
กลูโคไซด์	GULCOSIDE
กล๊อกซิเนีย	GLOXINIA
กวม	GUAM
กวาร์เดียร์	GUARDIA
กวิน	GWIN
กวินน์	GWINN
กวินอน	GUINAN
กวิโด้	GUIDO
กองเกริส	GINGRAS
กอจอน	GAJAN
กอซ	GAUZE
กอดดาร์ด, รอเบิร์ต เอช.	GODDARD, ROBERT H.
กอดฟรีย์	GODFREY
กอดวิน	GODWIN
กอตต์ฟรีด	GOTTFRIED
กอตต์ลีบ, อะดอล์ฟ	GROTTLIEB, ADOLPH
กอตต์วาลต์	GOTTWALD
กอตแลนด์	GOTLAND
กอทิก	GOTHIC
กอนซาเลิส	GONZALES
กอนซี่	GONZI
กอนด์วานา	GONDWANA
กอนด์วานาแลนด์	GONDWANALAND
กอฟ	GOUGH
กอฟฟิน, เจอร์รี	GOFFIN, GERRY
กอม	GOMME
กอมบริก	GOMBRICH
กอมเพร์ตส	GOMPERTZ
กอมเพิร์ส	GOMPERS
กอยน์ส	GOINS
กอยเทอีน	GOITEIN
กอริลลา	GORILLA
กอริ่ง	GORING
กอร์	GOAR
กอร์ จูเนียร์, แอล	GORE JR., AL
กอร์กี	GORKY
กอร์กี, อาร์ชีล	GORKY, ARSHILE
กอร์คิน	GORKIN
กอร์ด	GORD
กอร์ดอน	GORDON
กอร์ดอน อัลล์พอร์ต	GORDON ALLPORT
กอร์ดอน, เดกซ์เตอร์	GORDON, DEXTER
กอร์ดิส	GORDIS
กอร์ดิเมอร์, เนดีน	GORDIMER, NADINE
กอร์ดี, เบอร์รี	GORDY, BERRY
กอร์ต	GORT
กอร์ตเนอร์	GORTNER
กอร์บูซีเย, เลอ	CORBUSIER, LE
กอร์มลีย์	GORMLEY
กอร์รี่	GORRIE
กอร์ส	GORES
กอร์สกี	GORSKY
กอร์สต	GORST
กอร์เซิช	GORSUCH
กอร์เตอร์	GORTER
กอร์เติ้น	GORTON
กอร์เมิน	GORMAN
กอร์เรจโจ	CORREGGIO
กอร์เรล	GORRELL
กอร์เลย์	GOURLAY
กอร์เอิม	GORHAM
กอล	GAUL
กอลด์	GAULD
กอลล่า	GOLLA
กอลล์	GALL
กอลันตี้	GALANTE
กอลเลอร์	GOLLER
กอลเลิน	GALLEN
กอลเลิ่น	GOLLAN
กอลแลนต์โซลด์เยอร์	GALLANT SOLDIER
กอล์ต	GALT
กอล์ฟ	GOLF
กอว์	GAW
กอส	GOSS
กอสซิจ	GOSSAGE
กอสซิป	GOSSIP
กอสลิน	GOSLIN
กอสส์	GOSSE
กอสเดิ้น	GOSDEN
กอสเนิล	GOSNELL
กอเชิ่น	GOSHEN
กอเรมิกิน	GOREMYKIN
กอเริล	GORLE
กอเริ่น	GOREN
กอเอิน	GAUGHAN
กอโช	GOSHO
กะรัต	KARAT
กักเคิน	GUCKEN
กังต็อก	GANGTOK
กัดมันไดต์	GUDMUNDITE
กัดเจิ้น	GUDGEON
กัตมอเคอร์	GUTTMACHER
กัตรู	GETREU
กัตเติ้นเทิก	GUTTENTAG
กัตเมินน์	GUTMANN
กัตเมิ่น	GUTMAN
กัตแซนนีก้า	GAZZANIGA
กัทรี, วูดดี	GUTHRIE, WOODY
กันการ์	KUNGAR
กันดี้	GUNDY
กันด์	GUND
กันด์เลิก	GUNDLACH
กันนาร์สัน	GUNNARSSON
กันนิสัน	GUNNISON
กันนิ่ง	GUNNING
กันน่าร์	GUNNAR
กันวิล	GONVILLE
กันสัน	GUNSON
กันสเติ้น	GUNSTON
กันเดอรี่	GUNDRY
กันเดอร์สัน	GUNDERSON
กันเดอร์เซ่น	GUNDERSEN
กันเตอร์	GUNTER
กันเนิลส์	GUNNELS
กันแทรม	GUNTRAM
กัปตัน	CAPTAIN
กัปทิลล์	GUPTILL
กัปปี้	GUPPY
กัฟฟี่	GUFFEY
กัม	GUM
กัมซิน	KHAMSIN
กัมประโด	COMPRADORE
กัมป์	GUMP
กัมพูชา	CAMBODIA
กัมเบิล	GUMBEL
กัมเมอร์	GUMMER
กัมโบ	GUMBO
กัมโบทิล	GUMBOTIL
กัมโป	CAMPO
กัมโปเซร์ราโด	CAMPO CERRADO
กัลกัตตา	CALCUTTA
กัลดี้	GALDI
กัลฟ์	GULF
กัลฟ์สตรีม	GULF STREAM
กัลลิกเซิ่น	GULLIKSEN
กัลลิเวอร์	GULLIVER
กัลลิ่ง	GALING
กัลลี่	GULLY
กัลล์	GULL
กัลวานี, ลุยจี	GALVANI, LUIGI
กัลวีโน, อีตาโล	CALVINO, ITALO
กัลเคิล	GOKUL
กัลเลอตี้	GALATY
กัลเวย์	GALWAY
กัลโล่	GALO
กัวกาเมลา	GUAGAMELA
กัวดาลูป	GUADALUPE
กัวราช่า	GUARACHA
กัวลาลัมเปอร์	KUALA LUMPUR
กัววา	GUAVA
กัวเดอลูป	GUADELOUPE
กัวเตมาลา	GUATEMALA
กัวเตมาลาซิตี	GUATEMALA CITY
กัส	GUS
กัสซิต	GUSSETT
กัสติน	GUSTIN
กัสตีน	GUSTINE
กัสตี้	GUSTY
กัสต์	GUSTE
กัสเตอร์	KUSTER
กัสเทิฟสัน	GUSTAFSON
กั๊กกิสเบิร์ก	GUGGISBERG
กั๊ดดอย	GODOY
กั๊บ	GUBB
กั๊บบินส์	GUBBINS
กั๊บเซอร์	GUBSER
กั๊ป	GUP
กากี	KHAKI
กาฐมาณฑุ	KATHMANDU
กาดา	GADA
กาดูเซ็ก	GAJDUSEK
กาตมานดุ	KATMANDU
กาตาร์	QATAR
กาตาลัน	CATALAN
กานา	GHANA
กาบอง	GABON
กาบัน	GABAN
กามา	GAMA
กามู, อัลแบร์	CAMUS, ALBERT
กาย	GUY
การันตี	GUARANTEE
